keyword,probability
ABORT,0.00012664159163152362
ACTION,0.0003672606157314185
ADD,0.000139305750794676
AFTER,0.000139305750794676
ALL,0.0005192305256892469
ALTER,0.00012664159163152362
ALWAYS,0.00012664159163152362
ANALYZE,0.00012664159163152362
AND,0.04617352430885351
AS,0.09508250699694794
ASC,0.001886959715309702
ATTACH,0.00012664159163152362
AUTOINCREMENT,0.00012664159163152362
BEFORE,0.000139305750794676
BEGIN,0.00012664159163152362
BETWEEN,0.0038878968630877754
BY,0.026544077605967352
CASCADE,0.00012664159163152362
CASE,0.010017349898053519
CAST,0.01082785608449527
CHECK,0.00012664159163152362
COLLATE,0.00012664159163152362
COLUMN,0.00012664159163152362
COMMIT,0.00012664159163152362
CONFLICT,0.00012664159163152362
CONSTRAINT,0.00012664159163152362
CREATE,0.00012664159163152362
CROSS,0.000139305750794676
CURRENT,0.0018742955561465496
CURRENT_DATE,0.00012664159163152362
CURRENT_TIME,0.00012664159163152362
CURRENT_TIMESTAMP,0.00021529070577359016
DATABASE,0.0002026265466104378
DEFAULT,0.00012664159163152362
DEFERRABLE,0.00012664159163152362
DEFERRED,0.00012664159163152362
DELETE,0.00012664159163152362
DESC,0.01827438167242886
DETACH,0.00012664159163152362
DISTINCT,0.013791269328672922
DO,0.00022795486493674253
DROP,0.00012664159163152362
EACH,0.00012664159163152362
ELSE,0.009244836189101225
END,0.01023264060382711
ESCAPE,0.00012664159163152362
EXCEPT,0.00012664159163152362
EXCLUDE,0.00012664159163152362
EXCLUSIVE,0.00012664159163152362
EXISTS,0.00012664159163152362
EXPLAIN,0.00012664159163152362
FAIL,0.0003419322974051138
FILTER,0.000139305750794676
FIRST,0.002165571216899054
FOLLOWING,0.00012664159163152362
FOR,0.0009751402555627319
FOREIGN,0.000139305750794676
FROM,0.119524334181832
FULL,0.00012664159163152362
GENERATED,0.00012664159163152362
GLOB,0.00012664159163152362
GROUP,0.01323404632549422
GROUPS,0.000139305750794676
HAVING,0.001886959715309702
IF,0.0001646340691209807
IGNORE,0.00012664159163152362
IMMEDIATE,0.00012664159163152362
IN,0.002874764130035586
INDEX,0.0002026265466104378
INDEXED,0.00012664159163152362
INITIALLY,0.00012664159163152362
INNER,0.09099198358724972
INSERT,0.00012664159163152362
INSTEAD,0.00012664159163152362
INTERSECT,0.00012664159163152362
INTO,0.000139305750794676
IS,0.003356002178235376
ISNULL,0.00012664159163152362
JOIN,0.09146055747628636
KEY,0.000139305750794676
LAST,0.0021022504210832923
LEFT,0.0007725137089522941
LIKE,0.007940427795296532
LIMIT,0.022972784721958385
MATCH,0.001671669009536112
MATERIALIZED,0.00012664159163152362
NATURAL,0.000139305750794676
NO,0.0007091929131365323
NOT,0.002456846877651558
NOTHING,0.000139305750794676
NOTNULL,0.00012664159163152362
NULL,0.0047743880045084406
NULLS,0.00012664159163152362
OF,0.0025454959917936247
OFFSET,0.00012664159163152362
ON,0.09120727429302332
OR,0.0016336765320466547
ORDER,0.023200739586895128
OTHERS,0.00012664159163152362
OUTER,0.00012664159163152362
OVER,0.0003672606157314185
PARTITION,0.00018996238744728544
PLAN,0.00015196990995782836
PRAGMA,0.00012664159163152362
PRECEDING,0.00012664159163152362
PRIMARY,0.00018996238744728544
QUERY,0.000139305750794676
RAISE,0.00012664159163152362
RANGE,0.00012664159163152362
RECURSIVE,0.00012664159163152362
REFERENCES,0.00012664159163152362
REGEXP,0.00012664159163152362
REINDEX,0.00012664159163152362
RELEASE,0.00015196990995782836
RENAME,0.00012664159163152362
REPLACE,0.0010257968922153414
RESTRICT,0.00012664159163152362
RETURNING,0.00012664159163152362
RIGHT,0.00025328318326304724
ROLLBACK,0.00012664159163152362
ROW,0.00012664159163152362
ROWS,0.00012664159163152362
SAVEPOINT,0.00012664159163152362
SELECT,0.119524334181832
SET,0.00012664159163152362
TABLE,0.00012664159163152362
TEMP,0.00012664159163152362
TEMPORARY,0.00012664159163152362
THEN,0.009954029102237756
TIES,0.00012664159163152362
TO,0.0008611628230943606
TRANSACTION,0.0008484986639312082
TRIGGER,0.00012664159163152362
UNBOUNDED,0.00012664159163152362
UNION,0.0005065663665260945
UNIQUE,0.00015196990995782836
UPDATE,0.00012664159163152362
USING,0.0003419322974051138
VACUUM,0.00012664159163152362
VALUES,0.00015196990995782836
VIEW,0.00022795486493674253
VIRTUAL,0.00015196990995782836
WHEN,0.010017349898053519
WHERE,0.10492255866671732
WINDOW,0.00015196990995782836
WITH,0.00035459645656826615
WITHOUT,0.00017729822828413307
